user_id,date,income_amount,income_type,budget_cycle,total_expense,saving_amount,saving_rate,food_pct,travel_pct,shopping_pct,bills_pct,subscriptions_pct,others_pct,max_single_expense,num_expense_entries,recurring_expense_ratio,discretionary_expense_ratio,essential_expense_ratio
5458,2025-02-19,369,pocket_money,daily,369.01,-0.01,-0.0,29.9,5.45,24.04,2.28,14.52,23.81,110.34,6,16.8,47.85,35.36
7518,2025-02-10,29413,salary,monthly,29413.0,0.0,0.0,10.12,21.05,40.47,2.09,1.77,24.49,11902.64,6,3.86,64.96,31.18
1736,2025-02-13,341,pocket_money,daily,341.0,0.0,0.0,19.7,9.0,25.7,1.3,22.49,21.81,87.65,11,23.79,47.51,28.7
5920,2025-05-07,1678,salary,weekly,1678.0,0.0,0.0,35.73,7.74,9.84,18.89,14.13,13.66,599.63,8,33.02,23.5,43.47
6663,2025-03-23,4742,pocket_money,monthly,4742.0,0.0,0.0,30.51,2.34,23.27,13.19,15.92,14.77,1446.79,4,29.1,38.05,32.85
3885,2025-05-07,7020,salary,monthly,7020.0,0.0,0.0,34.5,2.37,9.67,10.27,33.64,9.55,2422.23,8,43.91,19.22,36.87
9938,2024-12-08,12800,pocket_money,monthly,12800.0,-0.0,-0.0,9.82,23.26,4.3,28.56,33.33,0.74,4265.63,5,61.89,5.04,33.08
1043,2025-03-24,7689,salary,monthly,7689.0,0.0,0.0,10.44,38.74,8.26,22.84,15.05,4.67,2978.83,7,37.89,12.93,49.18
5895,2025-01-25,26320,salary,monthly,26319.99,0.01,0.0,25.55,12.8,1.65,10.72,7.62,41.66,10964.9,12,18.33,43.31,38.35
5327,2025-03-10,3373,salary,weekly,3373.0,0.0,0.0,1.4,1.69,0.05,11.23,51.69,33.94,1743.53,5,62.92,33.99,3.09
2868,2025-04-10,1903,salary,weekly,1903.0,0.0,0.0,8.56,4.84,13.22,24.01,16.41,32.95,627.08,3,40.42,46.18,13.4
9069,2025-04-14,601,pocket_money,daily,601.01,-0.01,-0.0,21.51,10.56,3.98,33.41,4.79,25.76,200.78,3,38.2,29.73,32.07
